X,Y,OBJECTID,Name_e,Nom_f,Noms_Alt_Names,Description,Min_Scale_Echelle,Max_Scale_Echelle,CONCISCODE
-114.655539174,50.7880729680001,28,Mount Barwell,Mount Barwell,,,100000,5000,Mountain//Mont
-114.972921722,50.86587467,29,Fisher Range,Fisher Range,,,100000,5000,Mountain//Mont
-114.431658403,49.524994378,30,Hastings Ridge,Hastings Ridge,,,100000,5000,Mountain//Mont
-114.198114094,49.861699204,31,Whaleback Ridge,Whaleback Ridge,,,100000,5000,Mountain//Mont
-114.022163749,49.8592711540001,32,Sand Bluff,Sand Bluff,,,100000,5000,Mountain//Mont
-116.832497682,52.576130644,33,Tarpeian Rock,Tarpeian Rock,,,100000,5000,Mountain//Mont
-116.333484762,52.613786793,34,Beaver Flat,Beaver Flat,,,100000,5000,Mountain//Mont
-116.492257689,52.137314422,35,Sentinel Mountain,Sentinel Mont,,,100000,5000,Mountain//Mont
-115.679787004,51.514387201,36,Bare Range,Bare Range,,,100000,5000,Mountain//Mont
-115.840710443,51.697501118,37,Mount Tyrrell,Mount Tyrrell,,,100000,5000,Mountain//Mont
-114.725337703,51.3086017860001,38,Ranche Hill,Ranche Hill,,,100000,5000,Mountain//Mont
-114.873920055,51.3812004820001,39,Salter Ridge,Salter Ridge,,,100000,5000,Mountain//Mont
-114.735461747,51.2912513040001,40,McDonald Hills,McDonald Hills,,,100000,5000,Mountain//Mont
-114.710716759,51.481027204,41,Mayme Coulée,Mayme Coulée,,,100000,5000,Mountain//Mont
-115.679276582,51.214995371,42,Mount Louis,Mount Louis,,,100000,5000,Mountain//Mont
-115.988258935,51.1288148960001,43,Ball Pass,Ball Pass,,,100000,5000,Valley//Vallée
-115.96539765,51.12795842,44,Ball Range,Ball Range,,,100000,5000,Mountain//Mont
-115.832660269,51.08437079,45,Simpson Pass,Simpson Pass,,,100000,5000,Valley//Vallée
-115.142247659,51.087379463,46,Door Jamb Mountain,Door Jamb Mont,,,100000,5000,Mountain//Mont
-115.125694844,51.180627692,47,Association Peak,Association Peak,,,100000,5000,Mountain//Mont
-115.377023795,51.2102307700001,48,Mount Peechee,Mount Peechee,,,100000,5000,Mountain//Mont
-115.390769737,51.0531324560001,49,Mount Lawrence Grassi,Mount Lawrence Grassi,,,100000,5000,Mountain//Mont
-115.094122644,51.044371659,50,Jewell Pass,Jewell Pass,,,100000,5000,Valley//Vallée
-115.224514158,51.231478628,51,Saddle Peak,Saddle Peak,,,100000,5000,Mountain//Mont
-116.026346053,51.8690824930001,52,Indian Lookout,Indian Lookout,,,100000,5000,Mountain//Mont
-116.167954836,51.9999405190001,53,Ram Range,Ram Range,,,100000,5000,Mountain//Mont
-115.650633042,50.8695998090001,54,Mount Assiniboine,Mount Assiniboine,,,100000,5000,Mountain//Mont
-115.567909953,50.911583964,55,Gibraltar Rock,Gibraltar Rock,,,100000,5000,Mountain//Mont
-115.004953394,50.6846233190001,56,Tombstone Mountain,Tombstone Mont,,,100000,5000,Mountain//Mont
-115.219701031,50.546078805,57,Mangin Glacier,Mangin Glacier,,,100000,5000,Mountain//Mont
-115.243627333,50.694418958,58,Mount Black Prince,Mount Black Prince,,,100000,5000,Mountain//Mont
-114.689151878,50.7440689690001,59,Allsmoke Mountain,Allsmoke Mont,,,100000,5000,Mountain//Mont
-114.836906287,50.590377512,60,Gibraltar Mountain,Gibraltar Mont,,,100000,5000,Mountain//Mont
-114.917696857,50.718308371,61,Banded Peak,Banded Peak,,,100000,5000,Mountain//Mont
-114.982374627,50.6030172640001,62,Highwood Pass,Highwood Pass,,,100000,5000,Valley//Vallée
-114.48025822,50.253707853,63,Sentinel Peak,Sentinel Peak,,,100000,5000,Mountain//Mont
-115.207756228,50.7836306780001,64,Mount Inflexible,Mount Inflexible,,,100000,5000,Mountain//Mont
-115.291340532,50.9884888350001,65,Windtower,Windtower,,,100000,5000,Mountain//Mont
-115.463215243,50.889909414,66,Cone Mountain,Cone Mont,,,100000,5000,Mountain//Mont
-115.325643977,50.770606453,67,Mount Burstall,Mount Burstall,,,100000,5000,Mountain//Mont
-115.190987821,50.7659779360001,68,Mount Lawson,Mount Lawson,,,100000,5000,Mountain//Mont
-115.437197245,50.7563262940001,69,Mount Leval,Mount Leval,,,100000,5000,Mountain//Mont
-114.876851551,50.440060165,70,Mount Bishop,Mount Bishop,,,100000,5000,Mountain//Mont
-114.572480243,49.5576603050001,71,Mount Coulthard,Mount Coulthard,,,100000,5000,Mountain//Mont
-114.525504634,49.66777439,72,Wedge Mountain,Wedge Mont,,,100000,5000,Mountain//Mont
-116.648498518,52.0758557300001,73,Resolute Mountain,Resolute Mont,,,100000,5000,Mountain//Mont
-115.815384224,51.7618816840001,74,Tomahawk Mountain,Tomahawk Mont,,,100000,5000,Mountain//Mont
-115.254906582,51.6531744150001,75,Hunter Valley,Hunter Valley,,,100000,5000,Mountain//Mont
-114.806324653,50.8880083070001,76,Prairie Mountain,Prairie Mont,,,100000,5000,Mountain//Mont
-114.948187512,50.880560754,77,Compression Ridge,Compression Ridge,,,100000,5000,Mountain//Mont
-114.901784231,50.9915381960001,78,Cox Hill,Cox Hill,,,100000,5000,Mountain//Mont
-114.376820312,49.5696442760001,79,Hillcrest Mines,Hillcrest Mines,,,100000,5000,Miscellaneous site//Site - divers
-114.311158624,49.9142425900001,80,Miles Coulée,Miles Coulée,,,100000,5000,Mountain//Mont
-114.207225191,49.858869548,81,Eagle Coulée,Eagle Coulée,,,100000,5000,Mountain//Mont
-114.563436647,49.9216738650001,82,Grassy Ridge,Grassy Ridge,,,100000,5000,Mountain//Mont
-116.583626956,52.603898987,83,Blackstone Gap,Blackstone Gap,,,100000,5000,Mountain//Mont
-116.945720415,52.3411146330001,84,Mount McDonald,Mount McDonald,,,100000,5000,Mountain//Mont
-116.987052255,52.2999408750001,85,Afternoon Peak,Afternoon Peak,,,100000,5000,Mountain//Mont
-116.320610153,52.0897064740001,86,Mount William Booth,Mount William Booth,,,100000,5000,Mountain//Mont
-115.669168409,51.512297738,87,Panther Mountain,Panther Mont,,,100000,5000,Mountain//Mont
-115.669239942,51.6945691220001,88,Warden Rock,Warden Rock,,,100000,5000,Mountain//Mont
-115.564409624,51.6090423380001,89,Dormer Mountain,Dormer Mont,,,100000,5000,Mountain//Mont
-115.419066899,51.2948089020001,90,Aylmer Canyon,Aylmer Canyon,,,100000,5000,Mountain//Mont
-115.772077194,51.4485685130001,91,Vermilion Range,Vermilion Range,,,100000,5000,Mountain//Mont
-115.562379567,51.1028074750001,92,Sundance Pass,Sundance Pass,,,100000,5000,Valley//Vallée
-115.730350645,51.084716213,93,Mount Howard Douglas,Mount Howard Douglas,,,100000,5000,Mountain//Mont
-115.655642282,51.2452833940001,94,Mount Brewster,Mount Brewster,,,100000,5000,Mountain//Mont
-115.634858466,51.200573809,95,Mount Norquay,Mount Norquay,,,100000,5000,Mountain//Mont
-115.400011272,51.064033076,96,Chinamans Peak,Chinamans Peak,,,100000,5000,Mountain//Mont
-115.421568673,51.242342357,97,Mount Inglismaldie,Mount Inglismaldie,,,100000,5000,Mountain//Mont
-115.173285836,51.2493330840001,98,Orient Point,Orient Point,,,100000,5000,Mountain//Mont
-116.457216559,51.947367474,99,Mount Peskett,Mount Peskett,,,100000,5000,Mountain//Mont
-116.131777849,51.829977028,100,Mount Malloch,Mount Malloch,,,100000,5000,Mountain//Mont
-116.408877294,51.9311843040001,101,Siffleur Mountain,Siffleur Mont,,,100000,5000,Mountain//Mont
-115.648793863,50.864884143,102,Lunette Peak,Lunette Peak,,,100000,5000,Mountain//Mont
-115.222591291,50.6031896380001,103,Mount Lyautey,Mount Lyautey,,,100000,5000,Mountain//Mont
-115.13831549,50.633019582,104,Kananaskis Interlakes Powerhouse,Kananaskis Interlakes Powerhouse,,,100000,5000,Miscellaneous site//Site - divers
-115.076380697,50.6751573160001,105,Opal Falls,Opal Falls,,,100000,5000,Falls//Chute
-115.072623449,50.7243553590001,106,Opal Range,Opal Range,,,100000,5000,Mountain//Mont
-115.289970975,50.7321985250001,107,Mount Smith-Dorrien,Mount Smith-Dorrien,,,100000,5000,Mountain//Mont
-115.30449005,50.7300088900001,108,Mount French,Mount French,,,100000,5000,Mountain//Mont
-115.026914392,50.664967335,109,Elpoca Mountain,Elpoca Mont,,,100000,5000,Mountain//Mont
-114.974781113,50.6228615030001,110,Mount Rae,Mount Rae,,,100000,5000,Mountain//Mont
-114.967501154,50.607417685,111,Mount Arethusa,Mount Arethusa,,,100000,5000,Mountain//Mont
-114.806178122,50.666551493,112,Bluerock Mountain,Bluerock Mont,,,100000,5000,Mountain//Mont
-114.499060224,50.1276580320001,113,Isola Peak,Isola Peak,,,100000,5000,Mountain//Mont
-114.083723965,50.0429635990001,114,Minor Coulée,Minor Coulée,,,100000,5000,Mountain//Mont
-114.023221106,50.0254042620001,115,Wager Coulée,Wager Coulée,,,100000,5000,Mountain//Mont
-114.44336829,50.102714507,116,Livingstone Falls,Livingstone Falls,,,100000,5000,Falls//Chute
-117.023378287,52.2195366400001,117,Cataract Pass,Cataract Pass,,,100000,5000,Valley//Vallée
-115.134575019,50.849684289,118,The Wedge,The Wedge,,,100000,5000,Mountain//Mont
-115.147354464,50.9480170300001,119,Troll Falls,Troll Falls,,,100000,5000,Falls//Chute
-115.263290625,50.8071530490001,120,Mount Chester,Mount Chester,,,100000,5000,Mountain//Mont
-115.095845325,50.765946892,121,Mount Evan-Thomas,Mount Evan-Thomas,,,100000,5000,Mountain//Mont
-115.492253348,50.802998775,122,Mount Currie,Mount Currie,,,100000,5000,Mountain//Mont
-115.090816716,50.753623863,123,Mount Packenham,Mount Packenham,,,100000,5000,Mountain//Mont
-114.854436814,50.3975361820001,124,Weary Creek Gap,Weary Creek Gap,,,100000,5000,Mountain//Mont
-114.759122772,50.2716642140001,125,Mount Etherington,Mount Etherington,,,100000,5000,Mountain//Mont
-114.524245144,50.290157392,126,Mount Burke,Mount Burke,,,100000,5000,Mountain//Mont
-114.719392961,49.5806121640001,127,Tent Mountain Pass,Tent Mont Pass,,,100000,5000,Valley//Vallée
-116.746460819,52.138206838,128,Minster Mountain,Minster Mont,,,100000,5000,Mountain//Mont
-116.647540028,52.0715730110001,129,Lioness Peak,Lioness Peak,,,100000,5000,Mountain//Mont
-114.929718608,50.8590991130001,130,Nihahi Ridge,Nihahi Ridge,,,100000,5000,Mountain//Mont
-114.967987711,50.821475859,131,Mount Fullerton,Mount Fullerton,,,100000,5000,Mountain//Mont
-114.983897796,50.8489764560001,132,Mount Howard,Mount Howard,,,100000,5000,Mountain//Mont
-114.791436366,50.752635744,133,Forgetmenot Ridge,Forgetmenot Ridge,,,100000,5000,Mountain//Mont
-114.324884241,49.6024153050001,134,Robertson Peak,Robertson Peak,,,100000,5000,Mountain//Mont
-114.41537297,49.6237960940001,135,Blairmore Range,Blairmore Range,,,100000,5000,Mountain//Mont
-114.428728705,49.708296573,136,Grassy Mountain,Grassy Mont,,,100000,5000,Mountain//Mont
-114.296741133,49.9493150490001,137,Jackknife Coulée,Jackknife Coulée,,,100000,5000,Mountain//Mont
-114.636164609,49.754045053,138,Mount Ward,Mount Ward,,,100000,5000,Mountain//Mont
-114.630953949,49.784307921,139,High Rock Range,High Rock Range,,,100000,5000,Mountain//Mont
-116.938000266,52.3721096960001,140,Longview Mountain,Longview Mont,,,100000,5000,Mountain//Mont
-116.757252004,52.3515316250001,141,Job Pass,Job Pass,,,100000,5000,Valley//Vallée
-114.727781607,51.336385353,142,Reserve Hill,Reserve Hill,,,100000,5000,Mountain//Mont
-115.34334287,51.30410334,143,Pakakos Mountain,Pakakos Mont,,,100000,5000,Mountain//Mont
-115.457596569,51.367426058,144,Apparition Mountain,Apparition Mont,,,100000,5000,Mountain//Mont
-115.511441517,51.2871620490001,145,Stewart Canyon,Stewart Canyon,,,100000,5000,Mountain//Mont
-115.718097594,51.017630495,146,Citadel Peak,Citadel Peak,,,100000,5000,Mountain//Mont
-115.673127571,51.211229603,147,Gargoyle Valley,Gargoyle Valley,,,100000,5000,Mountain//Mont
-115.690450196,51.221865666,148,Mount Fifi,Mount Fifi,,,100000,5000,Mountain//Mont
-115.885203741,51.2095218380001,149,Copper Mountain,Copper Mont,,,100000,5000,Mountain//Mont
-115.837766834,51.181911665,150,Massive Range,Massive Range,,,100000,5000,Mountain//Mont
-115.662990121,51.201384551,151,Mount Edith,Mount Edith,,,100000,5000,Mountain//Mont
-115.784752567,51.0715177430001,152,Standish Ridge,Standish Ridge,,,100000,5000,Mountain//Mont
-115.554495486,51.1769288190001,153,Tunnel Mountain,Tunnel Mont,,,100000,5000,Mountain//Mont
-115.409411233,51.0700068670001,154,North Whiteman's Dam,North Whiteman's Dam,,,100000,5000,Hydraulic construction//Construction hydraulique
-115.251725319,51.031412539,155,Upper Spray Falls,Upper Spray Falls,,,100000,5000,Falls//Chute
-115.061830894,51.0971355990001,156,Kananaskis Dam,Kananaskis Dam,,,100000,5000,Hydraulic construction//Construction hydraulique
-115.470039875,51.124548723,157,Mount Rundle,Mount Rundle,,,100000,5000,Mountain//Mont
-115.035778807,51.1176912940001,158,Horseshoe Dam,Horseshoe Dam,,,100000,5000,Hydraulic construction//Construction hydraulique
-116.006185663,51.15584748,159,Mount Ball,Mount Ball,,,100000,5000,Mountain//Mont
-114.903584984,51.2212311750001,160,Mount Pringle,Mount Pringle,,,100000,5000,Mountain//Mont
-116.21651406,51.7738718270001,161,Mount Harris,Mount Harris,,,100000,5000,Mountain//Mont
-116.03063288,51.8980257440001,162,Wampum Peak,Wampum Peak,,,100000,5000,Mountain//Mont
-116.300061562,51.817602709,163,Recondite Peak,Recondite Peak,,,100000,5000,Mountain//Mont
-115.578078813,50.8425317590001,164,Marvel Pass,Marvel Pass,,,100000,5000,Valley//Vallée
-115.593717185,50.8916539250001,165,Wonder Pass,Wonder Pass,,,100000,5000,Valley//Vallée
-115.611863147,50.958968788,166,Og Mountain,Og Mont,,,100000,5000,Mountain//Mont
-115.670679045,50.999627382,167,Golden Mountain,Golden Mont,,,100000,5000,Mountain//Mont
-115.010376449,50.6323791310001,168,Elbow Pass,Elbow Pass,,,100000,5000,Valley//Vallée
-115.192306966,50.6669314490001,169,Mount Invincible,Mount Invincible,,,100000,5000,Mountain//Mont
-115.200404715,50.5601815160001,170,Mount Marlborough,Mount Marlborough,,,100000,5000,Mountain//Mont
-115.080817477,50.6951160560001,171,Mount Wintour,Mount Wintour,,,100000,5000,Mountain//Mont
-115.288663856,50.7143983730001,172,Mount Jellicoe,Mount Jellicoe,,,100000,5000,Mountain//Mont
-115.303412444,50.71316634,173,Haig Glacier,Haig Glacier,,,100000,5000,Mountain//Mont
-115.321649998,50.728036183,174,Mount Robertson,Mount Robertson,,,100000,5000,Mountain//Mont
-114.661600933,50.6608337980001,175,Missinglink Mountain,Missinglink Mont,,,100000,5000,Mountain//Mont
-114.55958642,50.6308485170001,176,Mount McNab,Mount McNab,,,100000,5000,Mountain//Mont
-114.466308214,50.2630381910001,177,Livingstone Range,Livingstone Range,,,100000,5000,Mountain//Mont
-114.748271921,50.2148763600001,178,Mount Farquhar,Mount Farquhar,,,100000,5000,Mountain//Mont
-114.703589705,50.089976812,179,Mount Lyall,Mount Lyall,,,100000,5000,Mountain//Mont
-114.662488625,50.0654537240001,180,Beehive Mountain,Beehive Mont,,,100000,5000,Mountain//Mont
-114.427430382,50.0532739590001,181,Livingstone Airfield,Livingstone Airfield,,,100000,5000,Miscellaneous site//Site - divers
-114.486018145,50.2436947350001,182,Sentinel Pass,Sentinel Pass,,,100000,5000,Valley//Vallée
-114.404884473,50.135476495,183,Mount Livingstone,Mount Livingstone,,,100000,5000,Mountain//Mont
-114.308497331,50.061648502,184,Chaffen Ridge,Chaffen Ridge,,,100000,5000,Mountain//Mont
-114.197010105,50.0096657010001,185,Breeding Valley,Breeding Valley,,,100000,5000,Mountain//Mont
-114.004877951,50.0706141750001,186,Chandler Coulée,Chandler Coulée,,,100000,5000,Mountain//Mont
-115.310901329,50.8648262390001,187,Mount Engadine,Mount Engadine,,,100000,5000,Mountain//Mont
-115.273686813,50.8396931500001,188,Mount Galatea,Mount Galatea,,,100000,5000,Mountain//Mont
-115.225127941,50.9589113750001,189,Mount Allan,Mount Allan,,,100000,5000,Mountain//Mont
-115.056558989,50.8976516130001,190,Mount McDougall,Mount McDougall,,,100000,5000,Mountain//Mont
-115.450574056,50.768565009,191,Mount Vavasour,Mount Vavasour,,,100000,5000,Mountain//Mont
-114.649960816,50.440455425,192,Mount Head,Mount Head,,,100000,5000,Mountain//Mont
-114.867272458,50.430710494,193,Elk Range,Elk Range,,,100000,5000,Mountain//Mont
-114.639669299,49.6417502190001,194,Crowsnest Ridge,Crowsnest Ridge,,,100000,5000,Mountain//Mont
-114.656705481,49.704086567,195,Deadman Pass,Deadman Pass,,,100000,5000,Valley//Vallée
-114.632744177,49.59859062,196,Sentry Mountain,Sentry Mont,,,100000,5000,Mountain//Mont
-114.750469434,49.6100252700001,197,Loop Ridge,Loop Ridge,,,100000,5000,Mountain//Mont
-114.726468114,49.5917984610001,198,Trail Hill,Trail Hill,,,100000,5000,Mountain//Mont
-116.041751641,52.4519714750001,199,Brazeau Range,Brazeau Range,,,100000,5000,Mountain//Mont
-116.516691478,52.166682119,200,Coral Creek Canyon,Coral Creek Canyon,,,100000,5000,Mountain//Mont
-116.967856566,52.1574541360001,201,Huntington Glacier,Huntington Glacier,,,100000,5000,Glacier//Glacier
-116.682304879,52.0699366960001,202,Mount Cline,Mount Cline,,,100000,5000,Mountain//Mont
-115.302815894,51.9929078420001,203,Corkscrew Mountain,Corkscrew Mont,,,100000,5000,Mountain//Mont
-115.196304659,51.754559634,204,Great West Ridge,Great West Ridge,,,100000,5000,Mountain//Mont
-115.979517399,51.823548262,205,Mount Peters,Mount Peters,,,100000,5000,Mountain//Mont
-114.894570953,51.518215565,206,Olson Ridge,Olson Ridge,,,100000,5000,Mountain//Mont
-116.111804736,51.2547053000001,207,Bow Range,Bow Range,,,100000,5000,Mountain//Mont
-114.640515739,50.879799511,208,McLean Hill,McLean Hill,,,100000,5000,Mountain//Mont
-114.971561232,50.7947092420001,209,Mount Remus,Mount Remus,,,100000,5000,Mountain//Mont
-114.783411172,50.752348784,210,Forgetmenot Mountain,Forgetmenot Mont,,,100000,5000,Mountain//Mont
-114.684705126,49.889455281,211,Mount Erris,Mount Erris,,,100000,5000,Mountain//Mont
-114.673131732,49.9664669700001,212,Tornado Pass,Tornado Pass,,,100000,5000,Valley//Vallée
-114.644301958,49.770924817,213,Racehorse Pass,Racehorse Pass,,,100000,5000,Valley//Vallée
-116.474686183,52.128084711,214,Elliott Peak,Elliott Peak,,,100000,5000,Mountain//Mont
-115.264918256,51.344964626,215,Devils Head,Devils Head,,,100000,5000,Mountain//Mont
-115.27957061,51.2876619580001,216,Mount Costigan,Mount Costigan,,,100000,5000,Mountain//Mont
-115.455433834,51.3181179160001,217,Aylmer Pass,Aylmer Pass,,,100000,5000,Valley//Vallée
-115.710706948,51.417623409,218,Flints Park,Flints Park,,,100000,5000,Mountain//Mont
-115.932985596,51.3304567070001,219,Helena Ridge,Helena Ridge,,,100000,5000,Mountain//Mont
-115.503282994,51.0737559360001,220,Goat Range,Goat Range,,,100000,5000,Mountain//Mont
-115.775727206,51.1322326040001,221,Mount Bourgeau,Mount Bourgeau,,,100000,5000,Mountain//Mont
-115.825217304,51.1887285700001,222,Pilot Mountain,Pilot Mont,,,100000,5000,Mountain//Mont
-115.535887838,51.1067322280001,223,Sulphur Mountain,Sulphur Mont,,,100000,5000,Mountain//Mont
-115.73795398,51.1090974350001,224,Goat's Eye,Goat's Eye,,,100000,5000,Cave//Caverne
-115.334032291,51.155776216,225,Mount Charles Stewart,Mount Charles Stewart,,,100000,5000,Mountain//Mont
-115.307594748,51.077075232,226,Indian Flat,Indian Flat,,,100000,5000,Mountain//Mont
-115.368319659,51.1591556920001,227,Princess Margaret Mountain,Princess Margaret Mont,,,100000,5000,Mountain//Mont
-115.417867123,51.204477513,228,Fairholme Range,Fairholme Range,,,100000,5000,Mountain//Mont
-115.164577927,51.020344935,229,Mount McGillivray,Mount McGillivray,,,100000,5000,Mountain//Mont
-115.035778807,51.1176912940001,230,Horseshoe Falls,Horseshoe Falls,,,100000,5000,Falls//Chute
-115.402939846,51.236648888,231,Mount Girouard,Mount Girouard,,,100000,5000,Mountain//Mont
-115.048934595,51.0119052540001,232,Mount Baldy,Mount Baldy,,,100000,5000,Mountain//Mont
-116.131250397,51.7132270110001,233,Dip Slope Mountain,Dip Slope Mont,,,100000,5000,Mountain//Mont
-114.710400744,51.0953031130001,234,Darnell Ridge,Darnell Ridge,,,100000,5000,Mountain//Mont
-116.212782978,51.840851081,235,Icefall Mountain,Icefall Mont,,,100000,5000,Mountain//Mont
-115.613103368,50.9608453480001,236,Windy Ridge,Windy Ridge,,,100000,5000,Mountain//Mont
-115.257467154,50.6434247070001,237,Mount Putnik,Mount Putnik,,,100000,5000,Mountain//Mont
-115.296609876,50.6264569420001,238,Mount Worthington,Mount Worthington,,,100000,5000,Mountain//Mont
-115.200410528,50.589673147,239,Fossil Falls,Fossil Falls,,,100000,5000,Falls//Chute
-115.086324986,50.5805866950001,240,West Elk Pass,West Elk Pass,,,100000,5000,Valley//Vallée
-115.053796516,50.6561916840001,241,Gap Mountain,Gap Mont,,,100000,5000,Mountain//Mont
-115.049677723,50.7009488480001,242,Mount Jerram,Mount Jerram,,,100000,5000,Mountain//Mont
-115.232412546,50.5500138570001,243,Mount Cordonnier,Mount Cordonnier,,,100000,5000,Mountain//Mont
-114.826330384,50.706674756,244,Threepoint Mountain,Threepoint Mont,,,100000,5000,Mountain//Mont
-114.112504774,50.127292078,245,Squaw Coulée,Squaw Coulée,,,100000,5000,Mountain//Mont
-115.225870418,50.9192255090001,246,Mount Bogart,Mount Bogart,,,100000,5000,Mountain//Mont
-115.241848197,50.8282005770001,247,The Fortress,The Fortress,,,100000,5000,Mountain//Mont
-115.375997808,50.8915434580001,248,Canyon Dam,Canyon Dam,,,100000,5000,Hydraulic construction//Construction hydraulique
-115.477647644,50.8541165120001,249,Mount Turner,Mount Turner,,,100000,5000,Mountain//Mont
-115.375778454,50.762025238,250,Burstall Pass,Burstall Pass,,,100000,5000,Valley//Vallée
-114.782082805,50.323599868,251,Fording Pass,Fording Pass,,,100000,5000,Valley//Vallée
-114.861162877,50.408165921,252,Mount McPhail,Mount McPhail,,,100000,5000,Mountain//Mont
-114.68805218,49.5561061670001,253,Ptolemy Pass,Ptolemy Pass,,,100000,5000,Valley//Vallée
-114.646394526,49.665438329,254,Mount Tecumseh,Mount Tecumseh,,,100000,5000,Mountain//Mont
-114.587715707,49.575143311,255,Mount Parrish,Mount Parrish,,,100000,5000,Mountain//Mont
-114.567767244,49.583208815,256,Mount McLaren,Mount McLaren,,,100000,5000,Mountain//Mont
-114.535815964,49.650785005,257,Iron Ridge,Iron Ridge,,,100000,5000,Mountain//Mont
-114.524799457,49.730226692,258,Ma Butte,Ma Butte,,,100000,5000,Mountain//Mont
-116.521445795,52.1528107920001,259,Cline River Canyon,Cline River Canyon,,,100000,5000,Mountain//Mont
-114.950124834,51.778993411,260,Stafne Ridge,Stafne Ridge,,,100000,5000,Mountain//Mont
-115.089741546,51.8439869090001,261,Old Baldy Mountain,Old Baldy Mont,,,100000,5000,Mountain//Mont
-115.759141288,51.878796509,262,Rocky Mountains,Rocky Monts,,,100000,5000,Mountain//Mont
-115.226439498,51.700983213,263,Blue Hill,Blue Hill,,,100000,5000,Mountain//Mont
-115.44459372,51.729881934,264,James Pass,James Pass,,,100000,5000,Valley//Vallée
-115.473795233,51.693514077,265,Labyrinth Mountain,Labyrinth Mont,,,100000,5000,Mountain//Mont
-114.730950884,51.500801359,266,Frozenman Coulée,Frozenman Coulée,,,100000,5000,Mountain//Mont
-116.077852918,51.250585163,267,Boom Mountain,Boom Mont,,,100000,5000,Mountain//Mont
-114.56227605,50.7812219630001,268,Mesa Butte,Mesa Butte,,,100000,5000,Mountain//Mont
-114.991354327,50.9012511870001,269,Mount Bryant,Mount Bryant,,,100000,5000,Mountain//Mont
-114.415101166,49.5844498760001,270,Turtle Mountain,Turtle Mont,,,100000,5000,Mountain//Mont
-114.445446007,49.874073938,271,Fly Hill,Fly Hill,,,100000,5000,Mountain//Mont
-114.03653816,49.998262546,272,Dry Coulée,Dry Coulée,,,100000,5000,Mountain//Mont
-114.036353012,49.946349771,273,Mill Coulée,Mill Coulée,,,100000,5000,Mountain//Mont
-114.686093488,49.922712312,274,North Fork Pass,North Fork Pass,,,100000,5000,Valley//Vallée
-116.294717562,52.6273801150001,275,Nelson Flat,Nelson Flat,,,100000,5000,Mountain//Mont
-115.811504788,51.6092771500001,276,Snow Creek Summit,Snow Creek Summit,,,100000,5000,Mountain//Mont
